,0
F,0.16555786476705517
NVDA,0.16261656087395163
AVGO,0.1607942310768265
BAC,0.16007396910132002
ORCL,0.15307620904900845
CAT,0.15169325623402058
JPM,0.15068294553828385
GM,0.14963157374022895
GS,0.14866785202340152
BK,0.1482862921209966
QCOM,0.14668127108012313
MS,0.14390089884342047
GE,0.13974765392225144
AAPL,0.1372791526342738
META,0.13376842242047085
INTC,0.13313002153803952
GOOG,0.13196786521530976
CSCO,0.12866431947069634
MSFT,0.12651165806217024
UPS,0.12478762482637376
AMD,0.12302910727844185
HD,0.12264806482272753
CVX,0.12165817229359717
NKE,0.12129054663887581
TGT,0.11831398577836512
XOM,0.1180962191786375
COST,0.11774775555662764
LOW,0.11567413505334334
SPY,0.11546803844550026
SBUX,0.11426653674319379
IBM,0.11173488279969125
AMZN,0.10602514766439179
UNH,0.10172774684656362
ADBE,0.10153828759963116
KO,0.09778980895533625
BA,0.09476079573747813
PEP,0.09274521122602114
MCD,0.09179879585593907
DIS,0.08539489875283963
WMT,0.07514145475220886
LMT,0.07204882981851005
PFE,0.06969833545923934
MRK,0.06671025991052447
NFLX,0.06011950183575337
CRM,0.05939599494562859
TSLA,0.04990780874307517
PYPL,0.04060095630086326
ABNB,0.03935634138810284
UBER,-0.02178694440970386
LYFT,-0.048517017819411215
